channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
0,758.0,1440.0,9503.918358766221,2959.163839149315,5756.991202420653,140,AQ
1,790.0,1440.0,9503.918358766221,2960.058594069373,5788.978690812726,140,AQ
2,758.0,1455.0,9501.638372182302,2944.343926353835,5757.405745435912,140,AQ
3,790.0,1455.0,9501.638372182302,2945.238681273893,5789.393233827985,140,AQ
4,758.0,1470.0,9499.358385598382,2929.5240135583545,5757.82028845117,140,AQ
5,790.0,1470.0,9499.358385598382,2930.4187684784124,5789.807776843243,140,AQ
6,758.0,1485.0,9497.078399014461,2914.7041007628736,5758.234831466429,140,AQ
7,790.0,1485.0,9497.078399014461,2915.5988556829316,5790.222319858502,140,AQ
8,758.0,1500.0,9494.798412430542,2899.8841879673932,5758.649374481685,140,AQ
9,790.0,1500.0,9494.798412430542,2900.778942887451,5790.636862873759,140,AQ
10,758.0,1515.0,9492.518425846622,2885.064275171913,5759.063917496944,140,AQ
11,790.0,1515.0,9492.518425846622,2885.959030091971,5791.051405889018,140,AQ
12,758.0,1530.0,9490.238439262701,2870.2443623764325,5759.478460512202,140,AQ
13,790.0,1530.0,9490.238439262701,2871.1391172964904,5791.465948904276,140,AQ
14,758.0,1545.0,9487.958452678782,2855.424449580952,5759.893003527461,140,AQ
15,790.0,1545.0,9487.958452678782,2856.31920450101,5791.880491919534,140,AQ
16,758.0,1560.0,9485.678466094862,2840.6045367854717,5760.307546542719,140,AQ
17,790.0,1560.0,9485.678466094862,2841.4992917055297,5792.295034934792,795,PAG
18,758.0,1575.0,9483.39847951094,2825.7846239899914,5760.722089557978,140,AQ
19,790.0,1575.0,9483.39847951094,2826.6793789100493,5792.7095779500505,795,PAG
20,758.0,1590.0,9481.11849292702,2810.964711194511,5761.136632573236,140,AQ
21,790.0,1590.0,9481.11849292702,2811.859466114569,5793.124120965309,795,PAG
22,758.0,1605.0,9478.838506343101,2796.1447983990306,5761.551175588493,795,PAG
23,790.0,1605.0,9478.838506343101,2797.0395533190886,5793.5386639805665,795,PAG
24,758.0,1620.0,9476.55851975918,2781.3248856035502,5761.965718603751,795,PAG
25,790.0,1620.0,9476.55851975918,2782.219640523608,5793.953206995825,795,PAG
26,758.0,1635.0,9474.27853317526,2766.5049728080694,5762.38026161901,795,PAG
27,790.0,1635.0,9474.27853317526,2767.3997277281273,5794.367750011083,795,PAG
28,758.0,1650.0,9471.998546591341,2751.685060012589,5762.794804634268,795,PAG
29,790.0,1650.0,9471.998546591341,2752.579814932647,5794.782293026341,795,PAG
30,758.0,1665.0,9469.71856000742,2736.8651472171086,5763.2093476495265,795,PAG
31,790.0,1665.0,9469.71856000742,2737.7599021371666,5795.196836041599,795,PAG
32,758.0,1680.0,9467.4385734235,2722.045234421628,5763.623890664785,795,PAG
33,790.0,1680.0,9467.4385734235,2722.9399893416858,5795.611379056858,795,PAG
34,758.0,1695.0,9465.158586839581,2707.2253216261474,5764.038433680043,795,PAG
35,790.0,1695.0,9465.158586839581,2708.1200765462054,5796.025922072116,795,PAG
36,758.0,1710.0,9462.87860025566,2692.405408830667,5764.4529766953,795,PAG
37,790.0,1710.0,9462.87860025566,2693.300163750725,5796.440465087374,795,PAG
38,758.0,1725.0,9460.59861367174,2677.5854960351867,5764.867519710559,795,PAG
39,790.0,1725.0,9460.59861367174,2678.4802509552446,5796.855008102632,795,PAG
40,758.0,1740.0,9458.31862708782,2662.7655832397063,5765.282062725817,795,PAG
41,790.0,1740.0,9458.31862708782,2663.6603381597643,5797.269551117891,795,PAG
42,758.0,1755.0,9456.0386405039,2647.945670444226,5765.6966057410755,795,PAG
43,790.0,1755.0,9456.0386405039,2648.840425364284,5797.684094133148,795,PAG
44,758.0,1770.0,9453.75865391998,2633.1257576487455,5766.111148756334,795,PAG
45,790.0,1770.0,9453.75865391998,2634.0205125688035,5798.098637148407,795,PAG
46,758.0,1785.0,9451.47866733606,2618.305844853265,5766.525691771592,795,PAG
47,790.0,1785.0,9451.47866733606,2619.200599773323,5798.513180163665,795,PAG
48,758.0,720.0,9613.357714794385,3670.519653332377,5737.09313768826,872,DR
49,790.0,720.0,9613.357714794385,3671.414408252435,5769.080626080333,872,DR
50,758.0,735.0,9611.077728210465,3655.6997405368966,5737.507680703518,872,DR
51,790.0,735.0,9611.077728210465,3656.5944954569545,5769.495169095591,872,DR
52,758.0,750.0,9608.797741626546,3640.8798277414157,5737.922223718777,872,DR
53,790.0,750.0,9608.797741626546,3641.7745826614737,5769.90971211085,872,DR
54,758.0,765.0,9606.517755042625,3626.0599149459354,5738.336766734035,872,DR
55,790.0,765.0,9606.517755042625,3626.9546698659933,5770.324255126108,872,DR
56,758.0,780.0,9604.237768458705,3611.240002150455,5738.751309749292,872,DR
57,790.0,780.0,9604.237768458705,3612.134757070513,5770.738798141366,872,DR
58,758.0,795.0,9601.957781874784,3596.4200893549746,5739.16585276455,872,DR
59,790.0,795.0,9601.957781874784,3597.3148442750326,5771.153341156624,872,DR
60,758.0,810.0,9599.677795290865,3581.6001765594942,5739.580395779809,872,DR
61,790.0,810.0,9599.677795290865,3582.494931479552,5771.567884171883,872,DR
62,758.0,825.0,9597.397808706944,3566.780263764014,5739.994938795067,872,DR
63,790.0,825.0,9597.397808706944,3567.675018684072,5771.98242718714,872,DR
64,758.0,840.0,9595.117822123024,3551.9603509685335,5740.409481810326,872,DR
65,790.0,840.0,9595.117822123024,3552.8551058885914,5772.396970202399,872,DR
66,758.0,855.0,9592.837835539105,3537.1404381730526,5740.824024825584,872,DR
67,790.0,855.0,9592.837835539105,3538.0351930931106,5772.811513217657,872,DR
68,758.0,870.0,9590.557848955184,3522.3205253775723,5741.238567840843,872,DR
69,790.0,870.0,9590.557848955184,3523.21528029763,5773.226056232916,872,DR
70,758.0,885.0,9588.277862371264,3507.500612582092,5741.653110856099,872,DR
71,790.0,885.0,9588.277862371264,3508.39536750215,5773.640599248173,872,DR
72,758.0,900.0,9585.997875787345,3492.6806997866115,5742.067653871358,872,DR
73,790.0,900.0,9585.997875787345,3493.5754547066695,5774.055142263432,872,DR
74,758.0,915.0,9583.717889203424,3477.860786991131,5742.482196886616,872,DR
75,790.0,915.0,9583.717889203424,3478.755541911189,5774.46968527869,872,DR
